"","State","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945"
"1","United States",0.566478074,0.498643845,0.467733175,0.446670413,0.463353902,0.455628902,0.460407346,0.486785561,0.460189849,0.46892339,0.443713546,0.395099819,0.413098961,0.426220208,0.402392536,0.423967004,0.445541501
"2","Alabama",0.463655859,0.434127331,0.417724252,0.386168063,0.398552537,0.389760524,0.385875523,0.427817732,0.418870836,0.432354122,0.409043401,0.390596569,0.429703474,0.441778749,0.388847798,0.417862713,0.446877658
"3","Arizona",0.446041107,0.402635366,0.378817469,0.338846326,0.346323311,0.350419581,0.359211296,0.381488025,0.362960428,0.413241863,0.383502364,0.356549025,0.396617502,0.414564133,0.36376363,0.388887733,0.414011836
"4","Arkansas",0.412276387,0.388537288,0.383529574,0.351684511,0.359029442,0.388816535,0.386504203,0.432135522,0.412240863,0.437918633,0.429459602,0.402513951,0.429254711,0.440499216,0.416049927,0.443310022,0.470570087
"5","California",0.513885498,0.464406818,0.449270964,0.422822654,0.437937617,0.433545083,0.432529062,0.466654867,0.444112271,0.467261642,0.425726056,0.385997295,0.412201405,0.392412037,0.361485451,0.386848092,0.412210733
"6","Colorado",0.491378248,0.468462467,0.453947634,0.423714221,0.437274456,0.435524881,0.451414943,0.480645239,0.463024318,0.477438509,0.440698534,0.379946709,0.425620854,0.441038191,0.404398948,0.432829052,0.461259156
"7","Connecticut",0.598133326,0.530675054,0.495010763,0.483156472,0.494554311,0.493895978,0.505457103,0.54443419,0.521627367,0.507015824,0.477001339,0.410546839,0.440152496,0.413856626,0.38512668,0.410665572,0.436204493
"8","Delaware",0.726843834,0.648764491,0.639443755,0.636892319,0.643275857,0.664341271,0.670445323,0.710121632,0.686786473,0.673896253,0.717184246,0.672184169,0.607578099,0.516873777,0.465883434,0.50065136,0.535419345
"9","District of Columbia",0.491220772,0.439555526,0.427277327,0.378682911,0.378794134,0.36858356,0.395840049,0.399993062,0.402695894,0.38957876,0.375493735,0.375989437,0.410186678,0.42449218,0.389492571,0.410447925,0.431403279
"10","Florida",0.545912802,0.48578617,0.485888481,0.448322415,0.457587749,0.474381477,0.491792142,0.540358186,0.529911876,0.565554261,0.530246496,0.496536672,0.486226022,0.48480463,0.447877109,0.474205017,0.500532925
"11","Georgia",0.462192506,0.427802652,0.411168247,0.406049579,0.414110184,0.417728543,0.409319133,0.460197568,0.426494151,0.435806364,0.420868307,0.405336022,0.442960531,0.484928757,0.418493032,0.448046148,0.477599263
"12","Idaho",0.321197629,0.331438392,0.304296702,0.298664182,0.312076062,0.331160694,0.327026904,0.341997832,0.333808661,0.372410119,0.37048465,0.345219076,0.352255464,0.373703867,0.324014843,0.361407518,0.398800164
"13","Illinois",0.557082176,0.500133216,0.4613581,0.444494367,0.467040062,0.445834994,0.463728338,0.49134621,0.466145217,0.459474623,0.434039742,0.382150739,0.423811704,0.427635789,0.39925009,0.420206785,0.44116351
"14","Indiana",0.490233839,0.460371166,0.433605254,0.400991946,0.414869219,0.430591047,0.428202599,0.452187032,0.425208181,0.432110012,0.410871476,0.35199368,0.367741734,0.387054324,0.363176435,0.384178102,0.405179739
"15","Iowa",0.443893343,0.421733707,0.409677774,0.356178254,0.391071767,0.405289978,0.399817914,0.418762326,0.406165749,0.423032403,0.40670523,0.372522384,0.370893985,0.403837085,0.399688512,0.417633533,0.435578555
"16","Kansas",0.433506548,0.430281848,0.424451858,0.408228636,0.399078697,0.408993155,0.400033176,0.412439078,0.412241966,0.460630894,0.430432737,0.387727141,0.385210812,0.422014177,0.386020482,0.428232998,0.470445514
"17","Kentucky",0.523451269,0.448963791,0.421027333,0.413024783,0.429316819,0.43397662,0.435366005,0.454191446,0.429411709,0.445241839,0.422617167,0.369980484,0.369579822,0.403433472,0.356235325,0.395679951,0.435124576
"18","Louisiana",0.448426485,0.409362108,0.39898923,0.387531489,0.383936077,0.401971877,0.406491131,0.46172753,0.43087706,0.436995059,0.430183977,0.40164727,0.4273808,0.445723534,0.375885814,0.406735361,0.437584937
"19","Maine",0.538714528,0.483662814,0.472260147,0.452249885,0.458455086,0.456930637,0.455030113,0.489900231,0.476409465,0.575481117,0.464281321,0.424778521,0.400984555,0.4295035,0.377211779,0.415501118,0.453790426
