"","State","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","United States",0.628525317,0.625912964,0.624273598,0.626876354,0.631358922,0.644943118,0.631998539,0.638377845,0.638583899
"2","Alabama",0.649461508,0.644988179,0.615309358,0.59136045,0.588540912,0.592822134,0.579567969,0.581462681,0.586106181
"3","Alaska",0.562496066,0.562505126,0.566977084,NA,0.566811562,0.573016524,0.559412777,0.559733689,0.561481714
"4","Arizona",0.602489769,0.602086842,0.608265877,NA,0.624225914,0.622746825,0.619073033,0.61847502,0.618825972
"5","Arkansas",0.66840589,0.667410553,0.626025677,NA,0.610839605,0.611529052,0.597698569,0.605893314,0.610305846
"6","California",0.629638791,0.626426518,0.639819205,NA,0.670676827,0.687004387,0.670347869,0.678311825,0.675258696
"7","Colorado",0.589080453,0.583579838,0.592712641,NA,0.620720267,0.630376577,0.614363432,0.619547188,0.614277899
"8","Connecticut",0.627086878,0.624351621,0.640010118,NA,0.675005019,0.695158839,0.680023968,0.683839917,0.681213021
"9","Delaware",0.561018348,0.558923542,0.557347536,NA,0.563827395,0.580374181,0.568882108,0.572887719,0.576137662
"10","District of Columbia",0.603478134,0.602528751,0.618143201,NA,0.637367785,0.664612114,0.638282359,0.642272353,0.648263037
"11","Florida",0.685729921,0.684999228,0.683642089,0.681595385,0.685198843,0.711425245,0.692623258,0.697349846,0.697941005
"12","Georgia",0.637666821,0.648755252,0.64558816,0.632009983,0.635861814,0.630467653,0.626261115,0.630083799,0.629702628
"13","Hawaii",0.57059741,0.570619583,0.571087599,0.564963937,0.566437006,0.576210856,0.565838277,0.569245458,0.571040869
"14","Idaho",0.643379271,0.634160936,0.630587697,0.629141212,0.628990531,0.644793749,0.62242198,0.61356014,0.620109618
"15","Illinois",0.614806831,0.612948775,0.614506543,0.620458305,0.629043579,0.640917122,0.62678051,0.632036507,0.63366884
"16","Indiana",0.596302688,0.59879005,0.588286042,0.567936897,0.578806281,0.581794739,0.573752701,0.57700175,0.579036891
